step,train_loss,eval_rmse,grad_norm,step_time
0,,1.202163e-01,,
1,2.080462e-02,1.201162e-01,1.190734e-03,13.041
2,2.356361e-02,,2.754199e-03,0.027
3,2.082555e-02,,2.647087e-03,0.025
4,2.111559e-02,,2.918657e-03,0.025
5,1.907063e-02,,2.506584e-03,0.025
6,2.340425e-02,,2.348150e-03,0.025
7,2.225470e-02,,2.341837e-03,0.025
8,2.083567e-02,,2.745004e-03,0.025
9,1.974585e-02,,2.496538e-03,0.025
10,2.191067e-02,1.190682e-01,2.274526e-03,0.025
11,2.619633e-02,,2.927808e-03,0.029
12,2.317283e-02,,2.918404e-03,0.025
13,1.988494e-02,,3.143415e-03,0.025
14,2.622385e-02,,3.502650e-03,0.025
15,2.332738e-02,,2.561175e-03,0.025
16,2.144259e-02,,3.015934e-03,0.025
17,2.565543e-02,,3.331171e-03,0.025
18,2.115626e-02,,3.192600e-03,0.025
19,2.074036e-02,,3.734998e-03,0.025
20,2.202546e-02,1.175398e-01,3.181885e-03,0.025
21,2.234904e-02,,3.637943e-03,0.027
22,2.137449e-02,,3.280956e-03,0.025
23,2.567750e-02,,3.132935e-03,0.025
24,1.924020e-02,,2.292802e-03,0.025
25,2.023406e-02,,3.426604e-03,0.025
26,2.281364e-02,,3.464447e-03,0.025
27,2.179378e-02,,2.363464e-03,0.025
28,2.186852e-02,,2.345836e-03,0.025
29,2.246216e-02,,3.496771e-03,0.025
30,2.092548e-02,1.154757e-01,3.097549e-03,0.025
31,2.143356e-02,,3.307752e-03,0.027
32,2.428490e-02,,3.444751e-03,0.026
33,2.007222e-02,,4.794303e-03,0.025
34,2.324514e-02,,4.003648e-03,0.027
35,1.959438e-02,,4.290151e-03,0.026
36,2.014145e-02,,3.177886e-03,0.026
37,2.044020e-02,,2.337668e-03,0.027
38,1.802544e-02,,5.287708e-03,0.032
39,2.260113e-02,,5.432990e-03,0.032
40,2.194095e-02,1.127038e-01,4.844013e-03,0.031
41,1.823309e-02,,4.691015e-03,0.035
42,2.015024e-02,,3.289606e-03,0.033
43,1.619749e-02,,5.510044e-03,0.034
44,1.868767e-02,,4.405396e-03,0.034
45,1.919336e-02,,3.104090e-03,0.033
46,1.767423e-02,,4.884146e-03,0.034
47,1.632490e-02,,3.512896e-03,0.034
48,1.966001e-02,,4.403615e-03,0.034
49,1.918606e-02,,5.203990e-03,0.034
50,1.666223e-02,1.091079e-01,5.438496e-03,0.034
51,1.961161e-02,,4.542124e-03,0.036
52,1.662240e-02,,4.505996e-03,0.035
53,1.855304e-02,,5.846837e-03,0.035
54,1.685057e-02,,6.491155e-03,0.034
55,1.840079e-02,,5.091395e-03,0.035
56,1.659481e-02,,5.272345e-03,0.034
57,1.543784e-02,,5.508265e-03,0.038
58,1.524605e-02,,4.759630e-03,0.035
59,1.680506e-02,,5.080085e-03,0.038
60,1.747935e-02,1.044370e-01,5.397901e-03,0.039
61,1.876983e-02,,3.948247e-03,0.037
62,1.928722e-02,,5.759299e-03,0.039
63,1.745050e-02,,4.384640e-03,0.037
64,1.213353e-02,,4.672777e-03,0.037
65,1.525817e-02,,5.068719e-03,0.039
66,1.773357e-02,,3.027573e-03,0.039
67,1.934030e-02,,3.757782e-03,0.040
68,1.835963e-02,,6.799960e-03,0.040
69,1.890517e-02,,3.121935e-03,0.040
70,1.548311e-02,9.896359e-02,4.291267e-03,0.041
71,1.511799e-02,,4.866062e-03,0.042
72,1.701792e-02,,5.494221e-03,0.041
73,1.703323e-02,,3.533873e-03,0.042
74,1.518395e-02,,3.918166e-03,0.041
75,1.595088e-02,,1.666842e-03,0.042
76,1.974032e-02,,1.026367e-03,0.040
77,1.388425e-02,,2.680769e-03,0.042
78,1.787574e-02,,1.508165e-03,0.044
79,1.804833e-02,,2.093229e-03,0.043
80,1.631200e-02,9.353357e-02,1.358514e-03,0.047
81,1.339185e-02,,2.905388e-03,0.045
82,1.321702e-02,,3.253716e-03,0.046
83,1.943819e-02,,1.415458e-03,0.044
84,1.287116e-02,,2.656800e-03,0.044
85,1.203299e-02,,3.405658e-03,0.046
86,2.024459e-02,,3.434592e-03,0.046
87,1.202352e-02,,1.492893e-03,0.044
88,1.164730e-02,,2.777879e-03,0.044
89,1.597320e-02,,1.650506e-03,0.044
90,1.691533e-02,8.987117e-02,1.709102e-03,0.046
91,1.521406e-02,,1.208563e-03,0.046
92,1.492171e-02,,1.558820e-03,0.047
93,1.185002e-02,,1.199524e-03,0.045
94,1.144523e-02,,2.630424e-03,0.045
95,1.338115e-02,,5.820140e-04,0.045
96,1.349099e-02,,1.438011e-03,0.046
97,1.357338e-02,,8.873071e-04,0.046
98,1.435739e-02,,1.084425e-03,0.046
99,1.673553e-02,,1.223865e-03,0.043
100,1.595952e-02,8.784476e-02,1.868807e-03,0.045
101,1.461142e-02,,1.432277e-03,0.046
102,1.195906e-02,,1.660500e-03,0.045
103,1.656187e-02,,2.070574e-03,0.046
104,9.970091e-03,,2.030401e-03,0.045
